stopID,stopName,baselineAvgMinutes,closedStopAvgMinutes,deltaMinutes,walkOnlyTrips,note
"000000000793","Randkløve Allé (Amager Landevej)",62.42,62.37,-0.05,123,"3 baseline trips used this stop"
"000000007067","Vigerslevvej (Vigerslev Allé)",62.42,62.39,-0.03,123,"4 baseline trips used this stop"
"000000000791","Gammel Kirkevej (Amager Landevej)",62.42,62.39,-0.02,124,"3 baseline trips used this stop"
"000000001950","Italiensvej  Hospitalet (Backersvej)",62.42,62.41,-0.01,123,"1 baseline trips used this stop"
"000000001953","Bulgariensgade (Østrigsgade)",62.42,62.41,-0.01,123,"2 baseline trips used this stop"
"000000001951","Florensvej (Backersvej)",62.42,62.41,-0.01,123,"1 baseline trips used this stop"
"000000027528","Lergravsparken St. (Østrigsgade)",62.42,62.41,-0.01,123,"1 baseline trips used this stop"
"000000045450","Jemtelandsgade (Holmbladsgade)",62.42,62.41,-0.01,123,"2 baseline trips used this stop"
"000000007088","Danhaven (Folehaven)",62.42,62.41,-0.01,123,"2 baseline trips used this stop"
"000000007087","Hestehaven (Folehaven)",62.42,62.41,-0.01,123,"2 baseline trips used this stop"
"000000007061","Peder Hjorts Vej (Vigerslev Allé)",62.42,62.42,-0.00,123,"1 baseline trips used this stop"
"000000007060","Toftegårds Plads (Vigerslev Allé)",62.42,62.42,-0.00,123,"2 baseline trips used this stop"
"000008603310","Islands Brygge St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603312","Sundby St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603313","Bella Center St. (Metro)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000008603315","Ørestad St. (Metro)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000053719","Bøgevang (Sirgræsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000008603317","Vestamager St. (Metro)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000053710","Røllikevej (Sirgræsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001034","Christmas Møllers Plads (Vermlandsgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002123","Gadelandet (Bystævnet)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000008603323","Øresund St. (Metro)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000008603322","Lergravsparken St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603327","Kastrup St. (Metro)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000008603328","Københavns Lufthavn St. (Metro)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000001046","Ved Amagerbanen (Prags Boulevard)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001049","Uplandsgade (Vermlandsgade)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000043928","Brønshøj Torv (Krabbesholmvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000053720","Bøgevang",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000043930","Annebergvej (Bellahøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002110","Åbjergvej (Ålekistevej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000002111","Hyltebjerg Allé (Ålekistevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002595","Emdrup Torv (Emdrupvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000027643","Holmbladsgade (Strandlodsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002107","Peter Bangs Vej (Roskildevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002109","Peter Bangs Vej (Ålekistevej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000008603301","Vanløse St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603302","Flintholm St. (Metro)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000008603306","Forum St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603309","Christianshavn St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000027640","Kastrupvej (Wibrandtsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001275","Mathildevej (Søndre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001030","Frieslandsvej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001273","Fasanvej St. (Nordre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002114","Jyllingevej (Ålekistevej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001025","Præstefælledvej (Løjtegårdsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001268","Borups Allé (Nordre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001026","Egensevej (Løjtegårdsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001024","Englandsvej (Løjtegårdsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000027637","Backersvej (Wibrandtsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001029","Goudavej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010195","Nordens Plads",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010193","Marielystvej Midt (Marielystvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054609","Amagerværket  Vindmøllevej (Vindmøllevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001241","Hillerødgade (Nordre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001000","Amagerhallen (Løjtegårdsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001234","Mathildevej (Søndre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000051573","Sydhavn St. (Tranehavevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000051575","Tranehavegård (Tranehavevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000045905","Ved Bellahøj Nord (Bellahøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001011","Goudavej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002340","Frederiksberg Allé St. (Frederiksberg Allé)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001251","Kildevældsparken (Vennemindevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001004","Bachersmindelejren (Fælledvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001001","Løjtegårdsskolen (Løjtegårdsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001002","Store Magleby Strandvej (Bachersmindevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001249","Skt. Kjelds Plads (Nygårdsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000002338","Frederiksberg Runddel (Frederiksberg Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002336","Søndre Fasanvej (Roskildevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001248","Lyngbyvej (Sejrøgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002337","Zoologisk Have (Roskildevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603331","Rådhuspladsen St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603336","Poul Henningsens Plads St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603338","Skjolds Plads St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001461","Strandvænget (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001462","Strandøre (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002784","Arsenaløen",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054629","Amager Bakke (Vindmøllevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001459","Nygårdsvej (Østerbrogade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000125","Nørre Gymnasium (Mørkhøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001219","Irlandsvej (Vejlands Allé)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000053772","Nøragersmindevej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603341","Nuuks Plads St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603349","Sluseholmen St. (Metro)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001231","Valby Langgade (Søndre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001223","Mozarts Plads St. (Borgm. Christiansens Gade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001463","Gl. Vartov Vej (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001227","Trekronergade (Carl Jacobsens Vej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000055969","Containervej (Sundkrogsgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
